Accession Number,Genus,Species,Strain,Location,Cryo Pvalue,Inoc Date,n Tubes Frozen,Date Frozen,Label
1209,Grifola,frondosa,PA/Oak,F3,3,12/19/19,9,1/8/20,
1370,Pleurotus,djamor,I,F3,12,12/19/19,9,1/8/20,Pd I P12 12-19-19
1083,Laricifomes,officinalis,East Tyrol,F4,8,12/19/19,9,1/9/20,
1335,Morchella,esculenta,M18,F4,8,2/5/20,9,2/12/20,
1246,Hypholoma,lateritium,I,F4,16,2/5/20,9,2/17/20,
1383,Pleurotus,ostreatus,CBOST,F3,18,2/7/20,9,2/17/20,
1022,Auricularia,nigricans,Hunan,F2,16,2/7/20,9,2/21/20,Ap Hunan P16 2-7-20
1316,Lepista,nuda,I,F2,16,2/7/20,9,3/10/20,
1003,Agaricus,bitorquis,Euro II,F1,26,2/7/20,9,4/23/20,A bit. Euro II P26 2-7-20
1313,Lentinula,edodes,WW lager 12028,F2,10,2/10/20,9,2/19/20,
1299,Lentinula,edodes,MM,F3,18,2/10/20,9,2/19/20,
1304,Lentinula,edodes,SH 1321 #2,F2,12,2/10/20,9,2/21/20,
1305,Lentinula,edodes,SH 322 #3,F2,11,2/10/20,9,2/24/20,
1309,Lentinula,edodes,W4,F2,6,2/26/20,9,3/10/20,
1137,Laricifomes,officinalis,XV (15)- Ellinor,F2,3,2/26/20,9,3/16/20,
1134,Laricifomes,officinalis,XLVI (46) - Sacramento,F2,2,2/26/20,9,3/16/20,
1088,Laricifomes,officinalis,I- Morton,F2,3,2/26/20,9,3/17/20,
1079,Laricifomes,officinalis,C/D,F2,4,2/26/20,9,3/17/20,
1095,Laricifomes,officinalis,MPVW,F1,4,2/26/20,9,3/20/20,
1080,Laricifomes,officinalis,Chip,F1,3,2/26/20,9,3/20/20,
1145,Laricifomes,officinalis,XXIX (29)- Capitol Forest,F1,2,2/26/20,9,3/23/20,
1155,Laricifomes,officinalis,XXXIX (39) - Mud Bay,F1,2,2/26/20,9,3/23/20,
1140,Laricifomes,officinalis,XVIII (18) #67318 (Ellinor),F1,2,2/26/20,9,3/30/20,
1089,Laricifomes,officinalis,IV (4)- Elwha,F1,3,5/5/20,9,5/27/20,
1116,Laricifomes,officinalis,VIII (8)- #67318,F1,4,5/5/20,9,5/27/20,
1153,Laricifomes,officinalis,XXXIIIa (33a)- North Cascades II,E8,2,5/5/20,9,5/28/20,
1158,Laricifomes,officinalis,XXXVII (37)- Gold Creek,E8,2,5/5/20,9,5/28/20,
1138,Laricifomes,officinalis,XVI (16)- Boulder Creek,E8,3,5/5/20,9,5/29/20,
1156,Laricifomes,officinalis,XXXV (35)- Slovenia II,E8,2,5/5/20,9,5/29/20,
1123,Laricifomes,officinalis,XII (12)- Spider Lake,F1,2,5/5/20,9,6/1/20,Fo XII Spider Lake P2 5-5-20
1154,Laricifomes,officinalis,XXXIV (34)- Slovenia,F1,2,5/5/20,9,6/1/20,Fo XXXIV Slov. P2 5-5-20
1115,Laricifomes,officinalis,VII (7)- Dungeness,E7,2,5/5/20,9,6/2/20,
1147,Laricifomes,officinalis,XXVI (26)- Browns Creek,E7,2,5/5/20,9,6/2/20,
1090,Laricifomes,officinalis,IX (9) - Mt Ellinor II,E7,2,5/20/20,9,6/12/20,Fo IX (9) P2 5-20-20
1139,Laricifomes,officinalis,XVII (17)- Breit,E7,2,5/20/20,9,6/12/20,Fo XVII (17) Breit P2 5-20-20
1122,Laricifomes,officinalis,XI (11)- Selma,E7,2,5/20/20,9,6/16/20,Fo XI Whale... P2 5-20-20
1100,Laricifomes,officinalis,Rattlesnake Ridge,E7,3,5/20/20,9,6/16/20,Fo Rattle Snake Ridge P3 5-20-20
1149,Laricifomes,officinalis,XXVIII (28)- Liberty Larch,E8,2,5/20/20,9,6/22/20,Fo XXVIII (28) Liberty Larch P2 5-20-20
1084,Laricifomes,officinalis,Emerald Forest,E8,4,5/22/20,9,6/18/20,Fo Em. Forest P4 5-22-20
1125,Laricifomes,officinalis,XIV (14)- Mary's Point,E8,2,5/22/20,9,6/22/20,Fo XIV Mary's Pt P2 5-22-20
1111,Laricifomes,officinalis,V (5) - Cortes,E7,5,5/22/20,9,6/26/20,Fo V P5 5-22-20
1152,Laricifomes,officinalis,XXXII (32)- North Cascades I,E7,2,5/22/20,9,6/26/20,Fo XXXII N. Casc. I P2 5-22-20
1148,Laricifomes,officinalis,XXVII (27)- Ellinor Lake,E7,3,6/22/20,9,7/29/20,Fo XXVII (27) Ellinor Lake P3 6-22-20
1150,Laricifomes,officinalis,XXX (30)- Humboldt Willow Creek,E6,3,6/22/20,9,7/29/20,Fo XXX (30) Humboldt W.C. P3 6-22-20
1102,Laricifomes,officinalis,Rooke,E8,2,6/23/20,9,7/28/20,Fo Rooke P2 6-23-20
1075,Laricifomes,officinalis,Bagby Hot Springs,E8,1,6/23/20,9,7/28/20,Fo Bagby H.S. P1 6-22-20
1126,Laricifomes,officinalis,XIX (19)- Trudy Cortes I,E6,2,6/24/20,8,7/30/20,Fo XIX (19) Trudy Cortes P2 6-24-20
1143,Laricifomes,officinalis,XXIII (23)- Gunclub - Carrie,E6,2,6/24/20,9,7/30/20,Fo XXIII (23) Gun Club Carrie P2 6-24-20
1141,Laricifomes,officinalis,XX (20)- Trudy Cortes II,E6,2,6/26/20,9,8/3/20,Fo XX (20) Trudy Cortes P2 6-26-20
1146,Laricifomes,officinalis,XXV (25)- #75,E6,3,6/26/20,9,8/3/20,Fo XXV (25) #75 P3 6-26-20
1127,Laricifomes,officinalis,XL (40) - Goldmeyer Hot Springs,E7,3,6/26/20,9,8/4/20,Fo XL (40) Gold. H. S. P3 6-26-20
1142,Laricifomes,officinalis,XXII (22)- Near Gun Club,E6,2,6/26/20,9,8/6/20,Fo XXII (22) Near Gun Club P2 6-26-20
1130,Laricifomes,officinalis,XLIII (43) - Twin Lakes,E5,2,7/1/20,9,8/6/20,Fo XLIII (43) Twin Lakes P3 7-1-20
